날짜,구분,분류,내용,금액,결제수단
2026-01-27,지출,,쿠팡 와우멤버십,7890,이체
2026-01-27,지출,,홈플러스 신도림점,225700,이체
2026-02-05,지출,,리틀발레 아카데미,180000,이체
2026-02-05,지출,,숲속유치원 원비,420000,이체
2026-02-07,지출,,라온필라테스,220000,이체
2026-02-10,지출,,수학의힘 학원,550000,이체
2026-02-10,지출,,청담어학원,680000,이체
2026-02-10,지출,,한결논술교실,280000,이체
2026-02-12,지출,,소리피아노 학원,320000,이체
2026-02-12,지출,,아이비영어 교습소,450000,이체
2026-02-12,지출,,페르마수학 학원,520000,이체
2026-02-12,지출,,한빛태권도장,180000,이체
2026-02-14,지출,,유튜브 프리미엄,14900,이체
2026-02-18,지출,,DB손해보험 실손의료비,49000,이체
2026-02-18,지출,,삼성화재 어린이보험,52000,이체
2026-02-18,지출,,한화생명 암보험,75000,이체
2026-02-21,지출,,밀리의서재,9900,이체
2026-02-25,수입,,급여 이체,6200000,이체
2026-02-27,지출,,쿠팡 와우멤버십,7890,이체
2026-03-05,지출,,리틀발레 아카데미,180000,이체
2026-03-05,지출,,숲속유치원 원비,420000,이체
2026-03-07,지출,,라온필라테스,220000,이체
2026-03-10,지출,,수학의힘 학원,550000,이체
2026-03-10,지출,,청담어학원,680000,이체
2026-03-10,지출,,한결논술교실,280000,이체
2026-03-12,지출,,소리피아노 학원,320000,이체
2026-03-12,지출,,아이비영어 교습소,450000,이체
2026-03-12,지출,,페르마수학 학원,520000,이체
2026-03-12,지출,,한빛태권도장,180000,이체
2026-03-14,지출,,유튜브 프리미엄,14900,이체
2026-03-18,지출,,DB손해보험 실손의료비,49000,이체
2026-03-18,지출,,삼성화재 어린이보험,52000,이체
2026-03-18,지출,,한화생명 암보험,75000,이체
2026-03-21,지출,,밀리의서재,9900,이체
2026-03-25,수입,,급여 이체,6200000,이체
2026-03-27,지출,,쿠팡 와우멤버십,7890,이체
2026-04-05,지출,,리틀발레 아카데미,180000,이체
2026-04-05,지출,,숲속유치원 원비,420000,이체
2026-04-07,지출,,라온필라테스,220000,이체
2026-04-10,지출,,수학의힘 학원,550000,이체
2026-04-10,지출,,청담어학원,680000,이체
2026-04-10,지출,,한결논술교실,280000,이체
2026-04-12,지출,,소리피아노 학원,320000,이체
2026-04-12,지출,,아이비영어 교습소,450000,이체
2026-04-12,지출,,페르마수학 학원,520000,이체
2026-04-12,지출,,한빛태권도장,180000,이체
2026-04-14,지출,,유튜브 프리미엄,14900,이체
2026-04-18,지출,,DB손해보험 실손의료비,49000,이체
2026-04-18,지출,,삼성화재 어린이보험,52000,이체
2026-04-18,지출,,한화생명 암보험,75000,이체
2026-04-21,지출,,밀리의서재,9900,이체
2026-04-22,지출,,마켓컬리,95700,이체
2026-04-25,수입,,급여 이체,6200000,이체
2026-04-27,지출,,쿠팡 와우멤버십,7890,이체
2026-05-05,지출,,리틀발레 아카데미,180000,이체
2026-05-05,지출,,숲속유치원 원비,420000,이체
2026-05-07,지출,,라온필라테스,220000,이체
2026-05-10,지출,,수학의힘 학원,550000,이체
2026-05-10,지출,,청담어학원,680000,이체
2026-05-10,지출,,한결논술교실,280000,이체
2026-05-12,지출,,소리피아노 학원,320000,이체
2026-05-12,지출,,아이비영어 교습소,450000,이체
2026-05-12,지출,,페르마수학 학원,520000,이체
2026-05-12,지출,,한빛태권도장,180000,이체
2026-05-14,지출,,유튜브 프리미엄,14900,이체
2026-05-18,지출,,DB손해보험 실손의료비,49000,이체
2026-05-18,지출,,삼성화재 어린이보험,52000,이체
2026-05-18,지출,,한화생명 암보험,75000,이체
2026-05-21,지출,,밀리의서재,9900,이체
2026-05-25,수입,,급여 이체,6200000,이체
2026-05-27,지출,,쿠팡 와우멤버십,7890,이체
2026-06-05,지출,,리틀발레 아카데미,180000,이체
2026-06-05,지출,,숲속유치원 원비,420000,이체
2026-06-07,지출,,라온필라테스,220000,이체
2026-06-10,지출,,수학의힘 학원,550000,이체
2026-06-10,지출,,청담어학원,680000,이체
2026-06-10,지출,,한결논술교실,280000,이체
2026-06-12,지출,,소리피아노 학원,320000,이체
2026-06-12,지출,,아이비영어 교습소,450000,이체
2026-06-12,지출,,페르마수학 학원,520000,이체
2026-06-12,지출,,한빛태권도장,180000,이체
2026-06-14,지출,,유튜브 프리미엄,14900,이체
2026-06-18,지출,,DB손해보험 실손의료비,49000,이체
2026-06-18,지출,,삼성화재 어린이보험,52000,이체
2026-06-18,지출,,한화생명 암보험,75000,이체
2026-06-21,지출,,밀리의서재,9900,이체
2026-06-25,수입,,급여 이체,6200000,이체
2026-06-27,지출,,쿠팡 와우멤버십,7890,이체
2026-07-02,지출,,코스트코 양평점,101900,이체
2026-07-05,지출,,리틀발레 아카데미,180000,이체
2026-07-05,지출,,숲속유치원 원비,420000,이체
2026-07-07,지출,,라온필라테스,220000,이체
2026-07-10,지출,,수학의힘 학원,550000,이체
2026-07-10,지출,,청담어학원,680000,이체
2026-07-10,지출,,한결논술교실,280000,이체
2026-07-12,지출,,소리피아노 학원,320000,이체
2026-07-12,지출,,아이비영어 교습소,450000,이체
2026-07-12,지출,,페르마수학 학원,520000,이체
2026-07-12,지출,,한빛태권도장,180000,이체
2026-07-14,지출,,유튜브 프리미엄,14900,이체
2026-07-18,지출,,DB손해보험 실손의료비,49000,이체
2026-07-18,지출,,삼성화재 어린이보험,52000,이체
2026-07-18,지출,,한화생명 암보험,75000,이체
2026-07-21,지출,,밀리의서재,9900,이체
2026-07-25,수입,,급여 이체,6200000,이체
2026-07-27,지출,,쿠팡 와우멤버십,7890,이체
2026-08-05,지출,,롯데마트 잠실점,222800,이체
2026-08-05,지출,,리틀발레 아카데미,180000,이체
2026-08-05,지출,,숲속유치원 원비,420000,이체
2026-08-07,지출,,라온필라테스,220000,이체
2026-08-10,지출,,수학의힘 학원,550000,이체
2026-08-10,지출,,청담어학원,680000,이체
2026-08-10,지출,,한결논술교실,280000,이체
2026-08-12,지출,,소리피아노 학원,320000,이체
2026-08-12,지출,,아이비영어 교습소,450000,이체
2026-08-12,지출,,페르마수학 학원,520000,이체
2026-08-12,지출,,한빛태권도장,180000,이체
2026-08-14,지출,,유튜브 프리미엄,14900,이체
2026-08-18,지출,,DB손해보험 실손의료비,49000,이체
2026-08-18,지출,,삼성화재 어린이보험,52000,이체
2026-08-18,지출,,한화생명 암보험,75000,이체
2026-08-21,지출,,밀리의서재,9900,이체
2026-08-25,수입,,급여 이체,6200000,이체
2026-08-27,지출,,쿠팡 와우멤버십,7890,이체
2026-09-05,지출,,리틀발레 아카데미,180000,이체
2026-09-05,지출,,숲속유치원 원비,420000,이체
2026-09-07,지출,,라온필라테스,220000,이체
2026-09-10,지출,,수학의힘 학원,550000,이체
2026-09-10,지출,,청담어학원,680000,이체
2026-09-10,지출,,한결논술교실,280000,이체
2026-09-12,지출,,소리피아노 학원,320000,이체
2026-09-12,지출,,아이비영어 교습소,450000,이체
2026-09-12,지출,,페르마수학 학원,520000,이체
2026-09-12,지출,,한빛태권도장,180000,이체
2026-09-14,지출,,유튜브 프리미엄,14900,이체
2026-09-18,지출,,DB손해보험 실손의료비,49000,이체
2026-09-18,지출,,삼성화재 어린이보험,52000,이체
2026-09-18,지출,,한화생명 암보험,75000,이체
2026-09-21,지출,,밀리의서재,9900,이체
2026-09-25,수입,,급여 이체,6200000,이체
2026-09-27,지출,,쿠팡 와우멤버십,7890,이체
