이용일자,이용하신곳,이용금액,할부,업종
2026.01.28,카카오T 택시,"77,500",일시불,
2026.01.28,투썸플레이스,"74,300",일시불,
2026.02.02,대한항공,"319,500",일시불,
2026.02.03,교보문고 광화문,"38,300",일시불,
2026.02.03,스마트짐 피트니스,"150,000",일시불,
2026.02.04,GS칼텍스 논현주유소,"142,900",일시불,
2026.02.04,아웃백 코엑스,"80,400",일시불,
2026.02.04,카카오T 택시,"165,400",일시불,
2026.02.04,코엑스 주차장,"155,700",일시불,
2026.02.04,한우명가,"24,300",일시불,
2026.02.05,CGV 강남,"93,600",일시불,
2026.02.05,SK에너지 양재점,"75,400",일시불,
2026.02.07,투썸플레이스,"61,200",일시불,
2026.02.08,넷플릭스,"17,000",일시불,
2026.02.09,CGV 강남,"40,400",일시불,
2026.02.09,신세계백화점 강남점,"138,999",일시불,
2026.02.10,배달의민족,"80,500",일시불,
2026.02.11,롯데월드,"84,100",일시불,
2026.02.11,코엑스 주차장,"46,000",일시불,
2026.02.11,한우명가,"78,000",일시불,
2026.02.12,쿠팡이츠,"51,700",일시불,
2026.02.12,투썸플레이스,"80,100",일시불,
2026.02.13,본죽 강남점,"54,300",일시불,
2026.02.13,제주신라호텔,"409,800",일시불,
2026.02.16,하이패스 통행료,"58,700",일시불,
2026.02.17,하이패스 통행료,"141,900",일시불,
2026.02.19,경조사비,"290,700",일시불,
2026.02.19,코엑스 주차장,"110,000",일시불,
2026.02.22,ABC마트,"141,800",일시불,
2026.02.22,무신사,"209,200",일시불,
2026.02.23,스타벅스 역삼점,"50,200",일시불,
2026.02.23,한우명가,"27,900",일시불,
2026.02.25,스타벅스 역삼점,"47,300",일시불,
2026.02.26,교보문고 광화문,"58,600",일시불,
2026.02.27,본죽 강남점,"29,100",일시불,
2026.03.01,CGV 강남,"72,100",일시불,
2026.03.01,스타벅스 역삼점,"44,900",일시불,
2026.03.03,스마트짐 피트니스,"150,000",일시불,
2026.03.04,곤지암리조트,"94,800",일시불,
2026.03.05,배달의민족,"37,800",일시불,
2026.03.06,대한항공,"84,800",일시불,
2026.03.06,카카오T 택시,"50,800",일시불,
2026.03.07,배달의민족,"36,800",일시불,
2026.03.07,코엑스 주차장,"98,900",일시불,
2026.03.07,쿠팡이츠,"44,300",일시불,
2026.03.08,넷플릭스,"17,000",일시불,
2026.03.08,투썸플레이스,"67,600",일시불,
2026.03.09,교촌치킨,"97,000",일시불,
2026.03.09,하이패스 통행료,"45,900",일시불,
2026.03.10,SK에너지 양재점,"51,300",일시불,
2026.03.10,예스24,"84,000",일시불,
2026.03.10,제주신라호텔,"30,400",일시불,
2026.03.10,투썸플레이스,"64,300",일시불,
2026.03.11,CGV 강남,"54,700",일시불,
2026.03.11,롯데월드,"28,400",일시불,
2026.03.11,한우명가,"31,300",일시불,
2026.03.12,교보문고 광화문,"75,800",일시불,
2026.03.14,한우명가,"91,500",일시불,
2026.03.15,코엑스 주차장,"63,100",일시불,
2026.03.17,ABC마트,"153,300",일시불,
2026.03.17,배달의민족,"37,000",일시불,
2026.03.18,GS칼텍스 논현주유소,"123,000",일시불,
2026.03.18,신세계백화점 강남점,"-238,000",일시불,
2026.03.19,코엑스 주차장,"96,600",일시불,
2026.03.22,ABC마트,"104,100",일시불,
2026.03.23,GS칼텍스 논현주유소,"65,400",일시불,
2026.03.23,쿠팡이츠,"62,900",일시불,
2026.03.24,투썸플레이스,"49,600",일시불,
2026.03.26,ABC마트,"250,100",일시불,
2026.04.03,스마트짐 피트니스,"150,000",일시불,
2026.04.03,아웃백 코엑스,"32,600",일시불,
2026.04.03,예스24,"56,200",일시불,
2026.04.06,카카오T 택시,"73,700",일시불,
2026.04.08,넷플릭스,"17,000",일시불,
2026.04.09,롯데월드,"73,600",일시불,
2026.04.09,쿠팡이츠,"49,500",일시불,
2026.04.11,교촌치킨,"64,700",일시불,
2026.04.12,무신사,"82,400",일시불,
2026.04.12,한우명가,"56,100",일시불,
2026.04.13,GS칼텍스 논현주유소,"82,000",일시불,
2026.04.13,SK에너지 양재점,"114,200",일시불,
2026.04.13,쿠팡이츠,"60,000",일시불,
2026.04.13,쿠팡이츠,"68,100",일시불,
2026.04.13,투썸플레이스,"78,500",일시불,
2026.04.14,SK에너지 양재점,"82,400",일시불,
2026.04.14,아웃백 코엑스,"30,000",일시불,
2026.04.14,하이패스 통행료,"79,500",일시불,
2026.04.15,롯데월드,"46,200",일시불,
2026.04.15,제주신라호텔,"104,100",일시불,
2026.04.16,코엑스 주차장,"33,400",일시불,
2026.04.17,경조사비,"71,300",일시불,
2026.04.17,아웃백 코엑스,"79,200",일시불,
2026.04.20,대한항공,"34,600",일시불,
2026.04.20,롯데월드,"86,900",일시불,
2026.04.20,스타벅스 역삼점,"52,800",일시불,
2026.04.21,교보문고 광화문,"52,100",일시불,
2026.04.21,코엑스 주차장,"57,800",일시불,
2026.04.24,신세계백화점 강남점,"69,100",일시불,
2026.04.25,교촌치킨,"57,500",일시불,
2026.04.25,카카오T 택시,"72,000",일시불,
2026.04.26,교촌치킨,"36,000",일시불,
2026.04.26,신세계백화점 강남점,"58,500",일시불,
2026.05.02,SK에너지 양재점,"91,700",일시불,
2026.05.02,곤지암리조트,"176,900",일시불,
2026.05.02,투썸플레이스,"38,300",일시불,
2026.05.03,배달의민족,"94,900",일시불,
2026.05.03,스마트짐 피트니스,"150,000",일시불,
2026.05.04,예스24,"92,600",일시불,
2026.05.04,하이패스 통행료,"49,300",일시불,
2026.05.04,한우명가,"92,600",일시불,
2026.05.05,배달의민족,"68,200",일시불,
2026.05.05,코엑스 주차장,"71,200",일시불,
2026.05.07,코엑스 주차장,"48,900",일시불,
2026.05.08,넷플릭스,"17,000",일시불,
2026.05.10,SK에너지 양재점,"98,200",일시불,
2026.05.10,대한항공,"356,000",일시불,
2026.05.11,하이패스 통행료,"38,000",일시불,
2026.05.12,무신사,"190,000",일시불,
2026.05.12,본죽 강남점,"57,200",일시불,
2026.05.12,한우명가,"78,000",일시불,
2026.05.14,투썸플레이스,"64,599",일시불,
2026.05.15,SK에너지 양재점,"84,000",일시불,
2026.05.16,교보문고 광화문,"52,100",일시불,
2026.05.18,CGV 강남,"168,900",일시불,
2026.05.19,무신사,"111,000",일시불,
2026.05.20,ABC마트,"119,000",일시불,
2026.05.20,CGV 강남,"84,599",일시불,
2026.05.21,CGV 강남,"119,300",일시불,
2026.05.21,배달의민족,"40,700",일시불,
2026.05.22,아웃백 코엑스,"62,800",일시불,
2026.05.23,배달의민족,"57,900",일시불,
2026.05.25,투썸플레이스,"75,800",일시불,
2026.05.25,하이패스 통행료,"113,700",일시불,
2026.05.26,경조사비,"187,100",일시불,
2026.05.26,투썸플레이스,"74,000",일시불,
2026.06.03,롯데월드,"51,800",일시불,
2026.06.03,스마트짐 피트니스,"150,000",일시불,
2026.06.03,코엑스 주차장,"101,000",일시불,
2026.06.04,투썸플레이스,"48,000",일시불,
2026.06.05,곤지암리조트,"46,000",일시불,
2026.06.05,교보문고 광화문,"70,700",일시불,
2026.06.05,배달의민족,"65,700",일시불,
2026.06.06,SK에너지 양재점,"46,000",일시불,
2026.06.06,신세계백화점 강남점,"77,200",일시불,
2026.06.07,대한항공,"95,000",일시불,
2026.06.08,넷플릭스,"17,000",일시불,
2026.06.09,투썸플레이스,"38,800",일시불,
2026.06.10,하이패스 통행료,"75,400",일시불,
2026.06.12,배달의민족,"73,500",일시불,
2026.06.12,스타벅스 역삼점,"72,700",일시불,
2026.06.13,CGV 강남,"43,100",일시불,
2026.06.14,교촌치킨,"25,200",일시불,
2026.06.14,하이패스 통행료,"107,200",일시불,
2026.06.14,한우명가,"43,400",일시불,
2026.06.16,하이패스 통행료,"96,600",일시불,
2026.06.17,교보문고 광화문,"70,400",일시불,
2026.06.19,ABC마트,"93,700",일시불,
2026.06.19,롯데월드,"79,000",일시불,
2026.06.20,SK에너지 양재점,"94,800",일시불,
2026.06.20,교촌치킨,"73,400",일시불,
2026.06.20,본죽 강남점,"53,900",일시불,
2026.06.22,교촌치킨,"64,600",일시불,
2026.06.24,제주신라호텔,"69,000",일시불,
2026.06.25,본죽 강남점,"78,300",일시불,
2026.06.25,코엑스 주차장,"38,700",일시불,
2026.06.27,무신사,"39,100",일시불,
2026.06.27,쿠팡이츠,"27,500",일시불,
2026.06.28,GS칼텍스 논현주유소,"35,300",일시불,
2026.07.02,곤지암리조트,"800,800",일시불,
2026.07.02,투썸플레이스,"72,600",일시불,
2026.07.03,경조사비,"322,100",일시불,
2026.07.03,스마트짐 피트니스,"150,000",일시불,
2026.07.03,하이패스 통행료,"165,700",일시불,
2026.07.05,교보문고 광화문,"91,100",일시불,
2026.07.07,롯데월드,"72,300",일시불,
2026.07.07,무신사,"94,000",일시불,
2026.07.07,본죽 강남점,"35,100",일시불,
2026.07.08,교촌치킨,"28,900",일시불,
2026.07.08,넷플릭스,"17,000",일시불,
2026.07.09,카카오T 택시,"93,300",일시불,
2026.07.10,대한항공,"437,100",일시불,
2026.07.10,무신사,"70,000",일시불,
2026.07.10,투썸플레이스,"31,800",일시불,
2026.07.10,하이패스 통행료,"132,500",일시불,
2026.07.10,한우명가,"56,700",일시불,
2026.07.11,CGV 강남,"127,000",일시불,
2026.07.13,하이패스 통행료,"126,900",일시불,
2026.07.14,GS칼텍스 논현주유소,"104,000",일시불,
2026.07.14,교보문고 광화문,"204,400",일시불,
2026.07.15,ABC마트,"46,000",일시불,
2026.07.15,배달의민족,"70,400",일시불,
2026.07.16,SK에너지 양재점,"145,200",일시불,
2026.07.17,CGV 강남,"135,200",일시불,
2026.07.18,쿠팡이츠,"37,300",일시불,
2026.07.22,스타벅스 역삼점,"74,900",일시불,
2026.07.23,SK에너지 양재점,"83,800",일시불,
2026.07.23,본죽 강남점,"55,600",일시불,
2026.07.23,본죽 강남점,"76,100",일시불,
2026.07.24,SK에너지 양재점,"58,600",일시불,
2026.07.27,배달의민족,"47,400",일시불,
2026.07.28,교촌치킨,"78,200",일시불,
2026.08.01,카카오T 택시,"94,000",일시불,
2026.08.01,투썸플레이스,"51,500",일시불,
2026.08.03,스마트짐 피트니스,"150,000",일시불,
2026.08.03,아웃백 코엑스,"59,800",일시불,
2026.08.03,예스24,"143,700",일시불,
2026.08.08,경조사비,"314,100",일시불,
2026.08.08,넷플릭스,"17,000",일시불,
2026.08.08,투썸플레이스,"62,200",일시불,
2026.08.09,본죽 강남점,"90,800",일시불,
2026.08.09,신세계백화점 강남점,"86,800",일시불,
2026.08.11,스타벅스 역삼점,"37,800",일시불,
2026.08.11,스타벅스 역삼점,"72,300",일시불,
2026.08.11,아웃백 코엑스,"53,500",일시불,
2026.08.13,쿠팡이츠,"71,300",일시불,
2026.08.14,교보문고 광화문,"129,500",일시불,
2026.08.14,스타벅스 역삼점,"74,900",일시불,
2026.08.14,신세계백화점 강남점,"35,900",일시불,
2026.08.14,코엑스 주차장,"140,800",일시불,
2026.08.14,하이패스 통행료,"159,700",일시불,
2026.08.16,하이패스 통행료,"123,100",일시불,
2026.08.17,GS칼텍스 논현주유소,"115,700",일시불,
2026.08.17,경조사비,"1,170,200",일시불,
2026.08.18,교보문고 광화문,"151,000",일시불,
2026.08.20,ABC마트,"87,300",일시불,
2026.08.20,SK에너지 양재점,"169,600",일시불,
2026.08.20,아웃백 코엑스,"75,400",일시불,
2026.08.23,배달의민족,"49,100",일시불,
2026.08.23,예스24,"90,100",일시불,
2026.08.23,제주신라호텔,"315,700",일시불,
2026.08.24,롯데월드,"138,200",일시불,
2026.08.25,본죽 강남점,"71,400",일시불,
2026.08.27,GS칼텍스 논현주유소,"55,400",일시불,
2026.08.28,코엑스 주차장,"86,700",일시불,
2026.09.01,SK에너지 양재점,"108,400",일시불,
2026.09.01,교보문고 광화문,"34,200",일시불,
2026.09.01,투썸플레이스,"82,500",일시불,
2026.09.02,무신사,"231,000",일시불,
2026.09.02,제주신라호텔,"281,500",일시불,
2026.09.03,스마트짐 피트니스,"150,000",일시불,
2026.09.03,예스24,"89,900",일시불,
2026.09.05,ABC마트,"78,100",일시불,
2026.09.05,교촌치킨,"49,500",일시불,
2026.09.05,한우명가,"47,500",일시불,
2026.09.06,카카오T 택시,"70,000",일시불,
2026.09.07,경조사비,"452,100",일시불,
2026.09.07,코엑스 주차장,"156,200",일시불,
2026.09.08,넷플릭스,"17,000",일시불,
2026.09.09,예스24,"26,900",일시불,
2026.09.11,아웃백 코엑스,"63,100",일시불,
2026.09.13,SK에너지 양재점,"157,400",일시불,
2026.09.13,교보문고 광화문,"73,300",일시불,
2026.09.13,하이패스 통행료,"98,600",일시불,
2026.09.16,스타벅스 역삼점,"68,300",일시불,
2026.09.16,하이패스 통행료,"97,000",일시불,
2026.09.18,SK에너지 양재점,"75,800",일시불,
2026.09.18,카카오T 택시,"111,600",일시불,
2026.09.19,본죽 강남점,"61,500",일시불,
2026.09.20,쿠팡이츠,"60,200",일시불,
2026.09.21,신세계백화점 강남점,"163,400",일시불,
2026.09.23,아웃백 코엑스,"27,400",일시불,
2026.09.24,교촌치킨,"54,900",일시불,
2026.09.24,아웃백 코엑스,"53,800",일시불,
2026.09.25,대한항공,"286,400",일시불,
2026.09.27,교보문고 광화문,"90,700",일시불,
2026.09.27,투썸플레이스,"50,200",일시불,
2026.09.28,한우명가,"46,100",일시불,
